pid,skill_name,endorsement
117,CRM,8
117,IT Strategy,6
117,ITIL,6
117,Program Management,4
117,Integration,4
117,PMP,3
117,Software Project Management,3
117,Project Portfolio Management,2
117,Global Delivery,2
117,PMO,2
117,IT Management,2
117,Enterprise Architecture,2
117,Data Center,1
117,Project Delivery,1
117,Outsourcing,1
117,Vendor Management,1
117,IT Outsourcing,1
117,Databases,5
117,Lotus Notes,1
117,Management,7
117,Leadership,1
119,SQL,4
119,Web Applications,3
119,Agile Methodologies,3
119,SDLC,2
119,Software Development,1
119,Java,2
119,Oracle,2
119,AJAX,2
119,Java Enterprise Edition,2
119,SharePoint,1
119,JSP,1
119,Microsoft SQL Server,1
119,Spring,1
119,Hibernate,1
120,JavaScript,0
120,Backbone.js,0
120,HTML,0
120,CSS,2
120,jQuery,0
120,Java,3
120,Android,1
120,Android SDK,1
120,Eclipse,1
120,Git,1
120,Microsoft Access,0
120,Matlab,0
120,AutoCAD,0
120,Unigraphics,0
120,App Inventor,0
120,Scheme,0
120,Mercurial,0
120,Haskell,0
120,Go,0
120,CNC Machine,0
120,WindPro,0
120,GH WindFarmer,0
120,WAsP,0
121,Product Management,32
121,Project Management,23
121,Software Development,21
121,PMP,20
121,Business Intelligence,15
121,Program Management,13
121,Semiconductors,12
121,Strategic Planning,10
121,Integration,10
121,Business Process Improvement,8
121,Six Sigma,6
121,Mobile Devices,3
121,Product Marketing,2
121,Intelligence,2
121,SAP ERP,5
121,SAP R/3,4
121,Cross-functional Team Leadership,10
121,Management,4
121,Emotional Intelligence,2
122,Technology Integration,5
122,Classroom,4
122,Staff Development,4
122,Program Management,3
122,Curriculum Design,2
122,Troubleshooting,2
122,Blogging,1
122,K-12,0
122,Social Media,0
122,Laptops,1
122,Smartboard,1
122,Educational Technology,0
122,iPad,1
123,Project Management,0
123,Product Management,0
123,Web Development,0
123,Product Marketing,0
123,Web Design,0
123,Higher Education,0
123,Nonprofits,0
123,Social Media,0
123,Scrum Master,0
123,Agile,0
123,Scrum,0
123,Product Development,0
123,Program Management,0
123,Content Management,0
123,Technical Writing,0
123,Project Planning,0
123,Editing,0
123,Email Marketing,0
123,Strategy,0
123,Marketing,0
123,HTML,0
123,CSS,0
123,PHP,0
123,WordPress,0
123,jQuery,0
123,Bootstrap,0
123,Management,0
123,Leadership,0
123,Social Networking,0
123,Web Production,0
123,Adaptive and Responsive web,0
123,Rally,0
123,Basecamp,0
123,WooCommerce,0
125,Art,25
125,Contemporary Art,23
125,Sculpture,23
125,Visual Arts,16
125,Fine Art,15
125,Public Art,8
125,Mixed Media,8
125,Art Education,6
125,Galleries,6
125,Craft,6
125,Crafts,3
125,Meditation,2
125,Ceramic,19
125,Clay,15
125,Studio Art,13
125,Murals,11
125,Pottery,11
125,Figurative Art,9
125,Modern Art,8
125,Abstraction,8
125,Art Tile,4
131,Java,24
131,Perl,22
131,Sybase,22
131,Fixed Income,10
131,Equities,6
131,Business Analysis,6
131,Cloud Computing,5
131,Change Management,3
131,Financial Analysis,3
131,Project Planning,3
131,Shell Scripting,2
131,Analytical Skills,2
131,Analytics,2
131,Production Managment,1
131,Process Optimization,1
131,Acquisition Integration,1
131,Intelligence,1
131,Strategy,0
131,Agile Methodologies,0
131,Scrum,0
131,Linux,18
131,Oracle,12
131,JIRA,11
131,SQL,5
131,MS Project,4
131,Microsoft Excel,4
131,JavaScript,3
131,Maven,2
131,Visio,2
131,Tortoise SVN,2
131,Ruby,2
131,Microsoft Word,0
131,Interpersonal Communication Abilities,2
131,Distributed Team Management,2
131,Critical Thinking,2
131,Emotional Intelligence,1
131,Perforce,3
131,IT Infrastructure Management,3
131,Production Support,2
131,Technical Project Leadership,2
131,Emacs,2
131,System Migration,2
131,Technical Project Delivery,1
131,Team Mentoring,1
131,Global IT Operations,1
131,Migration Projects,1
131,Oracle Application Server,0
131,TWiki,0
131,Follow Through,1
131,Best Practices,1
134,Strategy,50
134,Start-ups,37
134,Program Management,28
134,Strategic Planning,8
134,Business Strategy,6
134,IT Strategy,1
134,Research,11
134,Cloud Computing,3
134,Software Development,18
134,Agile Methodologies,2
134,Competitive Analysis,2
134,Business Analysis,4
134,Change Management,2
134,Project Portfolio Management,4
134,Entrepreneurship,19
134,Integration,15
134,Data Analysis,8
134,Project Management,5
134,Programming,4
134,Management Consulting,4
134,Software Project Management,4
134,Business Intelligence,4
134,Business Development,2
134,Business Process Improvement,4
134,Analysis,3
134,Business Process,2
134,Analytics,3
134,E-commerce,4
134,Data Mining,3
134,Consulting,10
134,Product Management,3
